code,instructor,schedule,description,credits,semesters,prerequisites,prerequisite_text
COMM 1020,Jack Cullen,"MWF (50 minutes), TuTh (1 hour 15 minutes)","Basic principles of public speaking. Focuses on informative and persuasive speaking in both extemporaneous and impromptu styles. Emphasizes adapting to diverse audiences, reducing communication apprehension, presenting in varied contexts, and using technology effectively.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
WRIT 1110,Andrew Kurtz,"MWF (50 minutes), TuTh (1 hour 15 minutes)","Fall, Spring, Summer. Provides a theoretical and practical foundation for college writers and lays important groundwork for future academic reading and writing experiences. This workshop-based course explores diverse intellectual practices associated with effective writing, including analyzing and producing genres, investigating individual writing processes, and reflecting on one's learning with an eye toward transferring writing knowledge to new situations. Students explore and experience how writing works in worlds they inhabit by composing digital, visual, and narrative expository arguments. UWP Placement. ABC/No credit.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
WRIT 1120,Dawn Hubbell-Staeble,"TuTh (1 hour 15 minutes), MWF (50 minutes)","Fall, Spring, Summer. Builds on foundational understandings of academic reading and writing with a focus on inquiry-based writing. By engaging a range of writing tasks, both informal and formal, students pursue person- and library-based research writing that has meaning to them personally. Students also continue to build confidence as readers, writers, and critical thinkers, adding their voices to ongoing conversations. Using a workshop approach, students practice strategies for representing, through reflective writing, their research and composing processes to a range of audiences. ePortfolio based. Placement through UWP online pre-screening or prior credit for WRIT 1110. Graded ABC/No Credit.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,writ1110,Placement through UWP online pre-screening or prior credit for WRIT 1110.
MATH 1230,Xiaofen Zhang,"MTuWTh (4:30pm-5:45pm), MTuWThF (2:30pm-3:20pm), MTuWThF (9:30am-10:20am)","Fall, Spring. Units and unit conversions; geometry; trigonometry of angles; laws of cosines and sines; solving triangles; vectors; analytic geometry; conceptual introduction to differential and integral calculus. This course is specifically designed to prepare students for required courses in the Architecture and Construction Management programs.",5,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,math1200|math1220,"Grade of C or higher in MATH 1200 or MATH 1220, or satisfactory placement exam score."
POLS 2900,Melissa Miller,"TuTh (1 hour 15 minutes), MWF (50 minutes)","Fall, Spring. Research design, methods of inquiry, and basic statistics used by political scientists; how political scientists establish and evaluate concepts and theories. Required of all POLS majors and should be taken by the end of the junior year; open to non-majors.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
PSYC 2700,Carolyn Tompsett,"(Class Length) 1 hour 40 minutes, 1 hour 15 minutes","Fall, Spring, Summer. Principles of measurement. Quantitative analyses of behavioral measures, including measures of typicality, individual differences, correlational methods and tests of significance. Three lectures hours; two laboratory hours.",4,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,psyc1010|math1150|math1220,s: PSYC 1010 and MATH 1150 or MATH 1220 or a math placement score of 32 or higher (or the equivalent) or consent of instructor. Approved for distance education.
SOC 2690,Meredith Gilbertson,"MWF (50 minutes), MW (1 hour 15 minutes)","Fall, Spring. Provides an introduction to core statistics concepts and techniques which are the bedrock of the social and behavioral sciences. Students will learn about the mathematical modeling of human behavior, including techniques for describing the characteristics of a sample, for stating and testing simple and complex hypotheses, and for modeling cause-effect relationships.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
ACS 2000,Rob Sloane,"F (50 minutes), MW (50 minutes)","Fall, Spring, Summer. Regional, ethnic and economic aspects of American national experience as reflected in verbal, visual and material artifacts. Culture theory and models used to examine selected topics and problems. Required of all American culture studies majors.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
ACS 2500,Clay Chiarelott,"MWF (50 minutes), TuTh (1 hour 15 minutes)","Interdisciplinary exploration of race, ethnicity, class, gender and sexual orientation in the United States, emphasizing imaginative expressive forms, such as fiction, poetry, film and the visual arts.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
ARCH 2330,Kerry Fan,"TuTh (10:00am-11:20am), MW (6:00pm-7:15pm), TuTh (7:30pm-8:45pm)","Fall. Ancient and medieval Western architecture and traditional non-Western architecture in cultural, aesthetic, and technical aspects.",3,Fall 2025|Fall 2024|Fall 2023|Fall 2022|Fall 2021,,
ARCH 2340,Kerry Fan,"TuTh (8:00am-9:20am), TuTh (6:00pm-7:15pm), TuTh (10:00am-11:20am)","Spring. Western architecture from renaissance to present and recent developments in global architecture in cultural, aesthetic, and technical aspects. May be taken before ARCH 2330.",3,Spring 2025|Spring 2024|Spring 2023|Spring 2022|Spring 2021,arch2330,
ART 1010,James Sholes,"TuTh, MW (no class time)","Historical and aesthetic components of art with laboratory or online experiences with basic elements of creative expression. Non-majors only. Two hours studio, two hours lecture. Extra fee. Approved for distance education.",3,Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
ARTH 1450,Mariah Morales,"MWF (50 minutes), MW (1 hour 20 minutes)","Survey of major monuments in Western Art (Europe, North Africa and the Near East) from the Paleolithic era to Medieval times. Introduction to artistic practices, period styles, cultural values and the critical art-historical issues associated with the production and reception of art over time. Required for BA Art History majors.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024,,
ARTH 1460,Mariah Morales,"MWF (11:30am-12:20pm), MWF (10:30am-11:20am), MWF (1:30pm-2:20pm)","Fall, Spring. Survey of major monuments in Western Art (Europe and North America) from the Renaissance to the present. Introduction to artistic practices, period styles, cultural values and the critical art-historical issues associated with the production and reception of art over time. May be taken before ARTH 1450. Required for BA Art History majors.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,arth1450,
ARTH 2700,Mariah Morales,"TuTh (1 hour 15 minutes), MWF (50 minutes)","Alternate Fall. Survey of world arts and cultures, from Africa, Asia, Oceania, the Caribbean, and the Americas, including arts of various media and materials, and those created within selected religious practices and belief systems. Required for BA Art History majors.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
CLCV 2410,Philip Peek,"TuTh (4:00pm-5:15pm), TuTh (8:00am-9:15am), TuTh (11:30am-12:45pm)","Fall, Summer. Masterpieces of Greek literature in English translation: Homer, Sappho, Pindar, Aeschylus, Sophocles, Euripides, Aristophanes, Herodotus, Thucydides, Plato, Aristotle. Introduction to history, art, customs, and beliefs. No Greek required. No credit for both CLCV 2410 and CLCV 4850.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,clcv2410|clcv4850,
CLCV 2420,Daniel Moore,"TuTh (1 hour 15 minutes), MWF (50 minutes)","Spring. Masterpieces of Latin literature in English translation: Lucretius, Cicero, Catullus, Virgil, Horace, Livy, Ovid, Petronius, Tacitus, Juvenal, Martial. An introduction to history, art, customs and beliefs. No Latin required. No credit for both CLCV 2420 and CLCV 4860.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,clcv2420|clcv4860,
