code,instructor,schedule,description,credits,semesters,prerequisites,prerequisite_text
CS 2010,Tianyi Song,"MWF (50 minutes), M (50 minutes)","Problem solving and algorithm development. Basic programming concepts including elementary data types, arrays, strings, files, control structures, and functions. Searching and sorting algorithms. Testing and debugging strategies.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,math1220|math1280|math1310|math1340,"(s): MATH 1220 or MATH 1280 or MATH 1310 or MATH 1340, or an appropriate Math Placement score together with a COREQUISITE of MATH 1220, or a Math Placement score of MATH 1280 or higher."
CS 2900,Venu Dasigi,"MW (50 minutes), TuTh (50 minutes)","Introduction to computing fields and careers in IT. Career exploration and planning. Introduction to the Co-op/internship experience. Job search preparation and strategies-resumes, interview preparation, job fair participation. Professional ethics and etiquette. Graded S/U.",2,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,,
CS 2020,Ronald Conway,"MWF (50 minutes), TuTh (1 hour 15 minutes)","Introduction to object-oriented programming techniques. Constructors, destructors, operator overloading. Inheritance and polymorphism. Elementary data structures including linked lists. Dynamic storage allocation concepts.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,math1280|cs2010,of MATH 1280 (Precalculus) or higher and grade of C or better in CS 2010. Approved for distance education.
CS 2190,Tianyi Song,TuTh (1 hour 15 minutes),Overview of computer design. Data and instruction representations. Assembly language. Logic design. Control and data flow. Introduction to Instruction- level parallelism. Memory hierarchy fundamentals. Multiple processor systems. Students cannot get credits for CS 2190.,3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,cs2010,Grade of C or better in CS 2010. Approved for distance education.
CS 3000,Jadwiga Carlson,TBA,"Impact of computers, the Internet, data, artificial intelligence (Al), machine learning (ML), and related computer technology on society and the social forces underlying the rapid and widespread adoption of computer technology. Explores personal privacy, intellectual property, legislative and constitutional issues, changing labor force composition, and professional ethics. The goal is to equip students to critically analyze the societal implications of computing and data-driven technologies, and to consider the ethical responsibilities of technology professionals. Not a programming course.",3,Fall 2025|Spring 2025|Spring 2024|Fall 2023|Spring 2023,cs1010,(s): Grade of C or better CS 1010 or higher.
CS 3080,Hassan Rajaei,"MWF (50 minutes), TuTh (1 hour 15 minutes)","Features of modern multiprocessing operating systems. Threads and processes; resource management; scheduling, concurrency, and communication; virtual memory management; secondary storage management. Students cannot get credits for both CS 3080 and CS 3270.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,cs2020|cs2190,Grade of C or better in CS 2020 and CS 2190.
CS 3210,Yan Wu,"MWF (50 minutes), TuTh (1 hour 15 minutes)","Introduction to software vulnerabilities. Major types of software vulnerabilities and attacks. Hands-on experience with attacks and countermeasures. Security issues of programming languages, and secure programming guidelines. Approved for distance education.",3,Fall 2025|Fall 2024|Fall 2023|Spring 2023|Spring 2022,cs2020,(s): a grade of C or better in CS 2020.
CS 3350,Ruinian Li,"MWF (50 minutes), MW (1 hour 15 minutes)","Abstract data types including stacks, queues, lists, trees and graphs. Introduction to analysis of algorithms. Recursive searching and sorting algorithms. Adaptation and use of generic data structures and types. Functional concepts. Students complete substantial programming projects involving designing and applying data structures.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,math2220|cs2020,MATH 2220 and Grade of C or better in CS 2020.
SE 3540,Abbas Heydarnoori,"TuTh (1 hour 15 minutes), MWF (50 minutes)","Overview of software engineering as a discipline. Software life-cycle models and phases of the software development process. Introduction to Human Computer Interaction (HCI) user-centered development, teams and project management.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,cs2020,Grade of C or better in CS 2020.
CS 3900,Hassan Rajaei,TBA,For students working in internship. Students must be registered for CS 3900 during completion of internship. Written reports and supervisor evaluation required. Does not apply to minor in Computer Science. May be repeated up to six hours.,3,Spring 2025|Spring 2024|Spring 2023|Spring 2022|Spring 2021,cs3900,consent of department. Graded: S/U.
CS 4390,Hassan Rajaei,"MWF (50 minutes), TuTh (1 hour 15 minutes)","Layered architectures and protocols. TCP/IP protocol suite. Client-server communication paradigm. Application architectures such as push and pull technologies, web services, cloud and microservices, multimedia. Scalability and performance. Credit cannot be earned for both CS 3270 and CS 4390 or CS 5390.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,cs3080,Grade of C or better in CS 3080.
SE 4550,Michael Decker,"MW (1 hour 15 minutes), TuTh (1 hour 15 minutes)",Principles and concepts of analyzing and designing large software systems. Analysis of software systems. Designing software systems using design patterns and object-oriented techniques.,3,Fall 2025|Fall 2024|Fall 2023|Fall 2022|Fall 2021,se3540,Grade of C or better in SE 3540. Credit cannot be received for both SE 4550 and SE 5550.
SE 4560,Mehdi Keshani,"MWF (50 minutes), MW (1 hour 15 minutes)",Measurement of software quality. Verification and validation of software projects using various testing techniques. Integration of testing techniques in the build process.,3,Spring 2025|Spring 2024|Spring 2023|Fall 2021,se3540,s: Grade of C or better in SE 3540. Credit cannot be earned for both SE 4560 and SE 5560.
CS 4620,Abbas Heydarnoori,"TuTh (1 hour 15 minutes), MWF (50 minutes)","Semantic models for conceptual and logical design of databases. Detailed study of relational systems: design, dependency and normal forms. Use of interactive and embedded query language. Overview of topics such as database connectivity, security and object-oriented systems.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,cs2020,Grade of C or better in CS 2020.
SE 4770,Michael Decker,TBA,"A synthesis of classroom knowledge and skills in computer science and software engineering, culminating in a comprehensive software engineering team project experience. Covers two or more areas of software engineering. Credit can be earned for only one of these courses: SE 4770, CS 4770, CS 4540.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2024|Fall 2023,se4550|se4560|cs4620,"(s): Grade of C or better in SE 4550, SE 4560, and CS 4620."
CS 1010,Ronald Conway,"MWF (50 minutes), TuTh (1 hour 15 minutes)","Introductory Python programming for problem solving and algorithm development. Learn about basic programming topics including data types, control structures, file operations, arrays, functions, programming style, testing and debugging strategies. Does not apply to the computer science major. Approved for distance education.",3,Fall 2025|Spring 2025|Fall 2024|Spring 2023,math1150|math1190|math1220,"Corequisite(s): MATH 1150, MATH 1190, MATH 1220 or higher."
